"part_id","hh_id","part_age","part_gender"
1200101,"HH1200101",73,"M"
1200201,"HH1200201",66,"F"
1200301,"HH1200301",70,"M"
1200401,"HH1200401",73,"M"
1200501,"HH1200501",64,"M"
1200601,"HH1200601",44,"F"
1200701,"HH1200701",76,"M"
1200801,"HH1200801",58,"M"
1200901,"HH1200901",53,"M"
1201001,"HH1201001",67,"M"
1201101,"HH1201101",64,"M"
1201201,"HH1201201",54,"F"
1201301,"HH1201301",67,"M"
1201401,"HH1201401",31,"M"
1201501,"HH1201501",62,"F"
1201601,"HH1201601",57,"M"
1201701,"HH1201701",36,"F"
1201801,"HH1201801",66,"F"
1201901,"HH1201901",60,"M"
1202001,"HH1202001",67,"F"
1202101,"HH1202101",62,"F"
1202201,"HH1202201",46,"M"
1202301,"HH1202301",63,"F"
1202401,"HH1202401",60,"F"
1202501,"HH1202501",35,"M"
1202601,"HH1202601",62,"F"
1202701,"HH1202701",58,"M"
1202801,"HH1202801",57,"M"
1202901,"HH1202901",71,"M"
1203001,"HH1203001",65,"F"
1203101,"HH1203101",62,"M"
1203201,"HH1203201",69,"M"
1203301,"HH1203301",58,"M"
1203401,"HH1203401",66,"M"
1203501,"HH1203501",62,"M"
1203601,"HH1203601",66,"F"
1203701,"HH1203701",49,"F"
1203801,"HH1203801",58,"M"
1203901,"HH1203901",56,"M"
1204001,"HH1204001",50,"F"
1204101,"HH1204101",37,"M"
1204201,"HH1204201",51,"F"
1204301,"HH1204301",64,"F"
1204401,"HH1204401",57,"M"
1204501,"HH1204501",47,"F"
1204601,"HH1204601",41,"F"
1204701,"HH1204701",40,"M"
1204801,"HH1204801",48,"F"
1204901,"HH1204901",62,"F"
1205001,"HH1205001",61,"F"
1205101,"HH1205101",69,"M"
1205201,"HH1205201",57,"F"
1205301,"HH1205301",65,"M"
1205401,"HH1205401",60,"M"
1205501,"HH1205501",47,"F"
1205601,"HH1205601",56,"F"
1205701,"HH1205701",43,"F"
1205801,"HH1205801",55,"F"
1205901,"HH1205901",69,"M"
1206001,"HH1206001",34,"F"
1206101,"HH1206101",67,"M"
1206201,"HH1206201",70,"M"
1206301,"HH1206301",75,"M"
1206401,"HH1206401",52,"F"
1206501,"HH1206501",38,"F"
1206601,"HH1206601",42,"M"
1206701,"HH1206701",51,"M"
1206801,"HH1206801",77,"M"
1206901,"HH1206901",58,"F"
1207001,"HH1207001",68,"M"
1207101,"HH1207101",45,"F"
1207201,"HH1207201",60,"M"
1207301,"HH1207301",64,"M"
1207401,"HH1207401",36,"F"
1207501,"HH1207501",46,"F"
1207601,"HH1207601",71,"F"
1207701,"HH1207701",29,"F"
1207801,"HH1207801",69,"F"
1207901,"HH1207901",74,"M"
1208001,"HH1208001",62,"M"
1208101,"HH1208101",56,"F"
1208201,"HH1208201",54,"F"
1208301,"HH1208301",54,"M"
1208401,"HH1208401",60,"F"
